rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,540672,2.5005327542622884,2.780132352,2.213731288909912,9.149793300380432
16,32,1081344,2.641769766807556,2.513476096,2.1812338829040527,8.857228301652855
64,128,4325376,2.277822224299113,3.102086144,2.0728020668029785,7.94706014189128
